Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-14T00:00+02:00;2021-09-15T00:00+02:00;14.09.2021;Totalt i retning UNN;2347
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-14T00:00+02:00;2021-09-15T00:00+02:00;14.09.2021;Totalt;4730
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-15T00:00+02:00;2021-09-16T00:00+02:00;15.09.2021;1;2299
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-15T00:00+02:00;2021-09-16T00:00+02:00;15.09.2021;2;2289
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-15T00:00+02:00;2021-09-16T00:00+02:00;15.09.2021;Totalt i retning Planetariet;2299
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-15T00:00+02:00;2021-09-16T00:00+02:00;15.09.2021;Totalt i retning UNN;2289
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-15T00:00+02:00;2021-09-16T00:00+02:00;15.09.2021;Totalt;4588
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-16T00:00+02:00;2021-09-17T00:00+02:00;16.09.2021;1;2297
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-16T00:00+02:00;2021-09-17T00:00+02:00;16.09.2021;2;2311
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-16T00:00+02:00;2021-09-17T00:00+02:00;16.09.2021;Totalt i retning Planetariet;2297
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-16T00:00+02:00;2021-09-17T00:00+02:00;16.09.2021;Totalt i retning UNN;2311
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-16T00:00+02:00;2021-09-17T00:00+02:00;16.09.2021;Totalt;4608
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-17T00:00+02:00;2021-09-18T00:00+02:00;17.09.2021;1;2175
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-17T00:00+02:00;2021-09-18T00:00+02:00;17.09.2021;2;2186
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-17T00:00+02:00;2021-09-18T00:00+02:00;17.09.2021;Totalt i retning Planetariet;2175
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-17T00:00+02:00;2021-09-18T00:00+02:00;17.09.2021;Totalt i retning UNN;2186
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-17T00:00+02:00;2021-09-18T00:00+02:00;17.09.2021;Totalt;4361
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-18T00:00+02:00;2021-09-19T00:00+02:00;18.09.2021;1;691
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-18T00:00+02:00;2021-09-19T00:00+02:00;18.09.2021;2;680
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-18T00:00+02:00;2021-09-19T00:00+02:00;18.09.2021;Totalt i retning Planetariet;690
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-18T00:00+02:00;2021-09-19T00:00+02:00;18.09.2021;Totalt i retning UNN;681
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-18T00:00+02:00;2021-09-19T00:00+02:00;18.09.2021;Totalt;1371
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-19T00:00+02:00;2021-09-20T00:00+02:00;19.09.2021;1;640
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-19T00:00+02:00;2021-09-20T00:00+02:00;19.09.2021;2;598
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-19T00:00+02:00;2021-09-20T00:00+02:00;19.09.2021;Totalt i retning Planetariet;640
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-19T00:00+02:00;2021-09-20T00:00+02:00;19.09.2021;Totalt i retning UNN;598
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-19T00:00+02:00;2021-09-20T00:00+02:00;19.09.2021;Totalt;1238
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-20T00:00+02:00;2021-09-21T00:00+02:00;20.09.2021;1;2296
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-20T00:00+02:00;2021-09-21T00:00+02:00;20.09.2021;2;2252
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-20T00:00+02:00;2021-09-21T00:00+02:00;20.09.2021;Totalt i retning Planetariet;2296
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-20T00:00+02:00;2021-09-21T00:00+02:00;20.09.2021;Totalt i retning UNN;2252
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-20T00:00+02:00;2021-09-21T00:00+02:00;20.09.2021;Totalt;4548
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-21T00:00+02:00;2021-09-22T00:00+02:00;21.09.2021;1;2265
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-21T00:00+02:00;2021-09-22T00:00+02:00;21.09.2021;2;2250
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-21T00:00+02:00;2021-09-22T00:00+02:00;21.09.2021;Totalt i retning Planetariet;2265
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-21T00:00+02:00;2021-09-22T00:00+02:00;21.09.2021;Totalt i retning UNN;2250
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-21T00:00+02:00;2021-09-22T00:00+02:00;21.09.2021;Totalt;4515
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-22T00:00+02:00;2021-09-23T00:00+02:00;22.09.2021;1;2270
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-22T00:00+02:00;2021-09-23T00:00+02:00;22.09.2021;2;2373
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-22T00:00+02:00;2021-09-23T00:00+02:00;22.09.2021;Totalt i retning Planetariet;2265
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-22T00:00+02:00;2021-09-23T00:00+02:00;22.09.2021;Totalt i retning UNN;2378
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-22T00:00+02:00;2021-09-23T00:00+02:00;22.09.2021;Totalt;4643
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-23T00:00+02:00;2021-09-24T00:00+02:00;23.09.2021;1;2352
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-23T00:00+02:00;2021-09-24T00:00+02:00;23.09.2021;2;2394
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-23T00:00+02:00;2021-09-24T00:00+02:00;23.09.2021;Totalt i retning Planetariet;2352
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-23T00:00+02:00;2021-09-24T00:00+02:00;23.09.2021;Totalt i retning UNN;2394
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-23T00:00+02:00;2021-09-24T00:00+02:00;23.09.2021;Totalt;4746
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-24T00:00+02:00;2021-09-25T00:00+02:00;24.09.2021;1;2144
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-24T00:00+02:00;2021-09-25T00:00+02:00;24.09.2021;2;2219
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-24T00:00+02:00;2021-09-25T00:00+02:00;24.09.2021;Totalt i retning Planetariet;2144
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-24T00:00+02:00;2021-09-25T00:00+02:00;24.09.2021;Totalt i retning UNN;2219
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-24T00:00+02:00;2021-09-25T00:00+02:00;24.09.2021;Totalt;4363
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-25T00:00+02:00;2021-09-26T00:00+02:00;25.09.2021;1;609
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-25T00:00+02:00;2021-09-26T00:00+02:00;25.09.2021;2;605
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-25T00:00+02:00;2021-09-26T00:00+02:00;25.09.2021;Totalt i retning Planetariet;609
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-25T00:00+02:00;2021-09-26T00:00+02:00;25.09.2021;Totalt i retning UNN;605
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-25T00:00+02:00;2021-09-26T00:00+02:00;25.09.2021;Totalt;1214
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-26T00:00+02:00;2021-09-27T00:00+02:00;26.09.2021;1;600
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-26T00:00+02:00;2021-09-27T00:00+02:00;26.09.2021;2;587
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-26T00:00+02:00;2021-09-27T00:00+02:00;26.09.2021;Totalt i retning Planetariet;600
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-26T00:00+02:00;2021-09-27T00:00+02:00;26.09.2021;Totalt i retning UNN;587
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-26T00:00+02:00;2021-09-27T00:00+02:00;26.09.2021;Totalt;1187
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-27T00:00+02:00;2021-09-28T00:00+02:00;27.09.2021;1;2251
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-27T00:00+02:00;2021-09-28T00:00+02:00;27.09.2021;2;2265
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-27T00:00+02:00;2021-09-28T00:00+02:00;27.09.2021;Totalt i retning Planetariet;2251
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-27T00:00+02:00;2021-09-28T00:00+02:00;27.09.2021;Totalt i retning UNN;2265
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-27T00:00+02:00;2021-09-28T00:00+02:00;27.09.2021;Totalt;4516
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-28T00:00+02:00;2021-09-29T00:00+02:00;28.09.2021;1;2263
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-28T00:00+02:00;2021-09-29T00:00+02:00;28.09.2021;2;2318
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-28T00:00+02:00;2021-09-29T00:00+02:00;28.09.2021;Totalt i retning Planetariet;2263
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-28T00:00+02:00;2021-09-29T00:00+02:00;28.09.2021;Totalt i retning UNN;2318
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-28T00:00+02:00;2021-09-29T00:00+02:00;28.09.2021;Totalt;4581
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-29T00:00+02:00;2021-09-30T00:00+02:00;29.09.2021;1;2293
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-29T00:00+02:00;2021-09-30T00:00+02:00;29.09.2021;2;2303
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-29T00:00+02:00;2021-09-30T00:00+02:00;29.09.2021;Totalt i retning Planetariet;2291
