Navn;Vegreferanse;Fra;Til;Dato;Trafikkmengde
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-29T00:00+01:00;2023-01-30T00:00+01:00;29.01.2023;549
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-29T00:00+01:00;2023-01-30T00:00+01:00;29.01.2023;560
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-29T00:00+01:00;2023-01-30T00:00+01:00;29.01.2023;549
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-29T00:00+01:00;2023-01-30T00:00+01:00;29.01.2023;560
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-29T00:00+01:00;2023-01-30T00:00+01:00;29.01.2023;1109
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-30T00:00+01:00;2023-01-31T00:00+01:00;30.01.2023;1810
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-30T00:00+01:00;2023-01-31T00:00+01:00;30.01.2023;1980
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-30T00:00+01:00;2023-01-31T00:00+01:00;30.01.2023;1808
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-30T00:00+01:00;2023-01-31T00:00+01:00;30.01.2023;1982
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-30T00:00+01:00;2023-01-31T00:00+01:00;30.01.2023;3790
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-31T00:00+01:00;2023-02-01T00:00+01:00;31.01.2023;1824
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-31T00:00+01:00;2023-02-01T00:00+01:00;31.01.2023;1972
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-31T00:00+01:00;2023-02-01T00:00+01:00;31.01.2023;1824
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-31T00:00+01:00;2023-02-01T00:00+01:00;31.01.2023;1972
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-31T00:00+01:00;2023-02-01T00:00+01:00;31.01.2023;3796
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-02-02T00:00+01:00;01.02.2023;1784
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-02-02T00:00+01:00;01.02.2023;1913
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-02-02T00:00+01:00;01.02.2023;1785
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-02-02T00:00+01:00;01.02.2023;1912
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-02-02T00:00+01:00;01.02.2023;3697
